epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.943527460098267,6.929717277775724,0.0509683995922528,0.3058103975535168
1,6.897933721542358,6.78332045610527,0.5096839951934192,1.9367991825613164
2,6.82393205165863,6.741842720486702,0.5861365943387622,2.420998978687718
3,6.824406862258911,6.700388376622875,0.5351681952325819,2.3700305803106465
4,6.802326560020447,6.531160880544742,0.9174311919314416,3.771661577603868
5,6.711931347846985,6.500538574203196,1.2996941934910269,4.001019369936135
6,6.684816122055054,6.442807152852128,1.274209989563284,4.71457696519982
7,6.74380624294281,6.3380003344879,1.5290519809625687,5.784913359553563
8,6.687975525856018,6.309190984895105,1.5545361856194204,5.937818583606094
9,6.689654588699341,6.2408671539493294,2.115188576273476,7.313965357042599
10,6.6360108852386475,6.2265707029601245,2.4464831940381657,7.28848113780357
11,6.588304877281189,6.173905128611215,2.064220182028021,7.772680943651423
12,6.627007007598877,6.12510010275029,2.6503567924071767,8.537206947256665
13,6.552743911743164,6.07790984874107,2.8032619804903396,9.021406727828746
14,6.483276963233948,6.060410610883364,2.7013251803336886,8.715596318609489
15,6.537963509559631,6.021652742749446,3.0071355739986254,9.658511722731907
16,6.54783821105957,6.013114230226911,2.9816513683696284,9.70948013787848
17,6.510960578918457,5.983998141157517,3.211009182089087,10.448521916411824
18,6.453970432281494,5.934465337358605,3.389398580661972,10.754332348962564
19,6.494557976722717,5.940612380779239,3.2619775768206147,10.881753322667425
20,6.570003032684326,5.89488526683578,3.6697247628650413,11.238532125646064
21,6.528409123420715,5.867173817544173,3.6442405582081894,11.365953112960955
22,6.414786100387573,5.81341018443443,4.10295615939919,12.028542323214563
23,6.543444752693176,5.858696427184872,3.8735983767883737,11.569826711329966
24,6.4065635204315186,5.8013194188187,4.791029569448924,13.226299698078183
25,6.385820627212524,5.776660742745122,4.587155965247042,12.410805304602137
26,6.420751214027405,5.756098337008197,4.102956170092786,12.61467893019121
27,6.371540784835815,5.711344747611385,4.714576959366949,13.863404692981343
28,6.476169466972351,5.677222835179133,4.969418957328213,13.990825723070618
29,6.2734010219573975,5.661783523637342,5.045871546022997,14.57696227171856
30,6.389255881309509,5.663951529153868,4.714576959366949,14.831804300788468
31,6.4596147537231445,5.6247528360038235,5.122324151244246,14.347604504662065
32,6.4195414781570435,5.632772906475475,4.969418946634617,14.24566768992324
33,6.359614014625549,5.608203648305692,5.606523960980679,16.15698270962994
34,6.405959248542786,5.603838880249241,5.300713569260032,15.265035685656875
35,6.3483580350875854,5.537985867802642,6.141692146977882,17.584097820441414
36,6.298139691352844,5.514220512848989,5.708460781552376,17.15086647057023
37,6.33252739906311,5.501958715320241,6.269113136237063,17.533129463623546
38,6.457841753959656,5.525584027429361,5.963302758126448,16.921508703513734
39,6.189539790153503,5.488552065313653,6.600407727753836,17.66055048204708
40,6.493418335914612,5.462127465356016,6.8042813319557185,18.29765549250456
41,6.344335079193115,5.421261455427008,6.44750256008572,18.34862386098817
42,6.334123730659485,5.422253875071363,6.320081529996446,17.787971434364746
43,6.309351325035095,5.385216185076886,6.574923543512031,19.113149854871963
44,6.375536799430847,5.380077723212441,6.702344552214114,18.730886873484387
45,6.271082520484924,5.377519782530058,7.339449535451533,19.4189602679798
46,6.18651008605957,5.3372882148906,7.4923547458940325,20.31090722973558
47,6.183831691741943,5.293354077198211,7.619775744874665,20.69317025778612
48,6.15067195892334,5.284888426948882,8.053007131687362,20.82059122565811
49,6.280128717422485,5.265133415401043,7.7981651687233215,21.25382262219226
50,6.257185578346252,5.267751073497029,7.747196734133846,20.6167176272891
51,6.1431978940963745,5.27126687017785,8.358817548683781,21.559633039188675
52,6.221617579460144,5.258288953646972,7.79816514928042,21.151885850227814
53,6.240978002548218,5.247771883351115,7.747196734133846,21.25382266885522
54,6.028398394584656,5.223240753197159,8.511722733850508,22.222222245553706
55,6.213464021682739,5.208890032209266,8.384301764034229,22.24770641424119
56,6.096286296844482,5.197669619327899,8.256880720334923,22.196738076866218
57,6.104614615440369,5.156584979804892,9.403669755879285,22.680937880769783
58,6.254249334335327,5.130971122103972,9.582059107789206,23.369011189716428
59,6.144701719284058,5.156561239536141,8.766564729867483,23.521916489596276
60,6.055420279502869,5.112975735912265,9.429153905123867,23.75127423332129
61,6.194669008255005,5.061106969578672,9.836901121304791,24.643221214519972
62,6.150080323219299,5.099550373571242,9.2252803573064,23.827726801601024
63,6.004531502723694,5.069474284923526,9.709480128157029,24.031600399970035
64,6.197906017303467,5.0399353516332726,10.142711518858308,24.77064217850338
65,6.121493220329285,5.002239015367296,10.575942899838136,26.27420998591774
66,5.977832078933716,5.011183251177742,9.887869501454142,26.121304752143757
67,6.103430390357971,5.003107753368693,10.728848133612116,25.94291543911964
68,6.103773593902588,5.015464488154887,9.734964353228929,25.586136556425103
69,6.086519122123718,4.95031744405764,10.448521900857504,26.911315046926763
70,5.980352282524109,4.920305752729908,11.136595320628688,27.344546373466468
71,6.097546458244324,4.928171558360684,11.391437303035632,26.78389397795169
72,6.121039390563965,4.8871282981927,11.416921493110307,27.930682937668735
73,5.983886480331421,4.882836097363424,11.442405718182204,27.726809339299724
74,5.97812557220459,4.8418388969429165,12.512742068789422,28.211009135426124
75,6.048827171325684,4.841028763735088,11.69724772586492,28.6697247317564
76,5.967470169067383,4.827352492695068,12.054026503567789,29.15392454343712
77,5.990888357162476,4.83373302689143,11.671763516347342,29.00101941465481
78,5.9572155475616455,4.86163921871438,11.467889933532653,28.38939855344191
79,6.043104648590088,4.773742193111222,12.767584101747907,29.765545338544154
80,5.837088108062744,4.782655143348935,12.487257923433418,30.886850199568162
81,6.098230957984924,4.736658074926285,12.844036716690608,30.810397596291203
82,5.992522120475769,4.745359805988852,13.022426099709172,30.810397569071142
83,5.872750163078308,4.720529470725648,13.404689077208166,31.523955194471323
84,5.997799634933472,4.729571892702373,13.22629966308096,30.93781856416319
85,5.990034699440002,4.696381558215095,13.557594283762086,31.855249795709547
86,5.868058085441589,4.6871870234836495,13.37920488130062,31.371050011248887
87,5.8456209897994995,4.708503049447996,13.047910289783847,31.855249756823742
88,6.1478612422943115,4.682525383223087,13.965341492165848,31.625891993655827
89,5.839866280555725,4.693512894691677,13.149847104522674,30.912334348812745
90,5.833783388137817,4.6271719490230145,14.194699274776665,33.18042818121954
91,5.872189998626709,4.639902542611996,14.016309860649459,33.46075434786829
92,6.02228307723999,4.607890499962701,14.449541338843794,33.02752298244278
93,6.0704991817474365,4.644379998565814,14.24566770936614,33.10397558183116
94,5.861612677574158,4.571991716563763,14.296636120624134,33.40978591327881
95,5.813460111618042,4.561171711038012,15.112130482991537,34.3272171564909
96,5.784563183784485,4.554163796699982,14.857288500584593,34.35270134073271
97,5.826672077178955,4.524082255290553,15.137614651679021,34.78593272171254
98,5.78676176071167,4.503558093740792,14.551478106919657,35.55045871559633
99,6.174949049949646,4.539807939140561,15.366972449844159,34.58205912334353
100,5.907385945320129,4.507165534051551,15.57084604821317,35.321100901876875
101,5.672619342803955,4.537966768068397,14.984709468456582,35.11722736572514
102,5.925125002861023,4.481151758713096,16.207951109222194,35.47400613176227
103,5.566520094871521,4.451100744603242,15.85117224597056,35.62691129943039
104,5.604165434837341,4.441254022289124,15.902140665005714,36.111111126665435
105,5.680182337760925,4.445611574112701,15.851172265413462,36.23853209453742
106,5.647395372390747,4.465270899365315,15.825688096725978,35.39755355181679
107,5.72936475276947,4.40283102896843,16.539245659908875,37.1049948720514
108,5.743524074554443,4.411330822897006,16.4882772447623,37.10499495371158
